time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.240474,0.0552,-0.0908,0.1528,0.186
1.252843,-0.1120,-0.3315,0.0911,0.362
1.260420,-0.0947,-0.2715,-0.0206,0.288
1.272875,-0.0620,0.0594,0.0192,0.088
1.281093,-0.0620,0.2076,0.0404,0.220
1.292999,0.1019,0.2632,0.0092,0.282
1.302612,0.0742,0.1541,-0.0556,0.180
1.312632,0.0754,0.1588,-0.0560,0.184
1.320258,-0.0786,-0.1591,-0.1990,0.267
1.335079,-0.3967,-0.0299,-0.1154,0.414
1.341316,-0.4328,0.1113,-0.1460,0.470
1.353512,-0.3529,0.1275,-0.2091,0.430
1.360378,-0.1271,0.0204,-0.2265,0.260
1.374711,-0.0333,-0.1726,0.0437,0.181
1.380741,-0.0197,-0.1105,0.1451,0.183
1.393294,-0.0971,0.1327,0.2093,0.266
1.402308,-0.1749,0.1809,0.1532,0.295
1.413728,-0.0742,0.0879,0.0341,0.120
1.420250,-0.0727,0.0911,0.0342,0.121
1.436184,-0.0721,-0.1142,0.0808,0.157
1.442638,-0.0280,-0.0326,0.1507,0.157
1.454257,0.1716,0.1297,0.0865,0.232
1.460336,0.0920,0.1457,0.0300,0.175
1.473013,0.0729,0.1287,-0.0647,0.161
1.480357,0.0300,0.1456,-0.0372,0.153
1.492639,0.1659,0.2014,-0.0317,0.263
1.506130,0.2621,0.2431,0.0114,0.358
1.513377,0.1296,0.1735,0.1138,0.245
1.520263,0.0332,0.0724,0.0923,0.122
1.533145,-0.1755,-0.1923,0.2109,0.335
1.541039,-0.2171,-0.1816,0.1789,0.335
1.553509,-0.0126,-0.0140,0.1974,0.198
1.561105,-0.0197,0.0146,0.2120,0.213
1.572900,-0.0261,0.0180,0.2089,0.211
1.580926,0.2887,0.2844,-0.3844,0.559
1.593278,0.8438,-0.1434,0.5117,0.997
1.600324,-0.0331,-0.4629,0.6533,0.801
1.612469,0.3204,-0.4914,-0.0922,0.594
1.623355,0.3034,-0.3757,-0.1154,0.497
