time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004186,0.3396,-0.1882,0.2748,0.476
0.010110,0.4654,0.3391,0.3810,0.690
0.023339,0.9737,0.6114,0.4324,1.228
0.030544,0.4733,0.3652,0.3573,0.696
0.042540,0.2124,0.2761,-0.0093,0.348
0.049846,0.6426,0.2578,0.3139,0.760
0.062603,0.3186,-0.0449,0.1606,0.360
0.070219,0.2447,-0.1449,0.1610,0.327
0.083254,0.2542,-0.1632,0.2143,0.370
0.089857,0.2177,-0.0912,0.2367,0.334
0.102919,0.3180,0.0691,0.2526,0.412
0.111060,0.3087,0.0997,0.1136,0.344
0.122580,0.1803,0.2773,-0.1829,0.378
0.132273,0.1815,0.4873,-0.1707,0.547
0.142472,0.0037,0.4730,-0.2447,0.533
0.150074,-0.2334,0.4086,-0.2305,0.524
0.162736,-0.2587,0.3240,-0.1596,0.444
0.170154,-0.1640,0.3298,-0.0228,0.369
0.182752,0.1343,0.4283,0.2137,0.497
0.190878,0.3126,0.5441,0.5648,0.844
0.202558,0.1887,0.4420,0.9832,1.094
0.210046,0.1448,0.3508,0.7299,0.823
0.222798,0.1105,0.3042,0.2290,0.396
0.229946,0.0385,0.2076,0.2025,0.293
0.242528,0.1751,0.0466,0.0370,0.185
0.249962,0.1791,-0.0104,-0.0324,0.182
0.263524,0.0214,0.0637,-0.0440,0.080
0.270651,-0.0762,0.1726,-0.1104,0.219
0.282654,-0.0100,0.3828,-0.1191,0.401
0.289976,-0.0635,0.3795,-0.0319,0.386
0.303421,0.0965,0.3903,0.2562,0.477
0.312476,0.1473,0.4010,0.4000,0.585
0.322526,-0.0390,0.2509,0.3779,0.455
0.330300,-0.2843,0.1724,0.1908,0.383
0.342857,-0.5442,0.4074,0.3847,0.781
0.350132,-0.4284,0.5053,0.1275,0.675
0.362406,-0.2538,0.8299,-0.3772,0.946
0.369964,-0.4268,0.8091,-0.4881,1.037
0.383052,-0.1891,0.6645,-0.3309,0.766
0.390251,0.0273,0.5938,0.1013,0.603
0.402451,-0.4150,0.3865,0.2437,0.617
0.410348,-0.0233,0.5048,0.3562,0.618
0.422877,0.0381,0.7660,0.6809,1.026
0.430101,0.4786,0.8861,0.3297,1.060
0.442949,0.8401,0.7904,0.2865,1.189
0.450657,0.7401,0.6068,0.4195,1.045
0.462583,0.3455,0.5251,0.3561,0.722
0.470064,0.3115,0.5972,0.0544,0.676
0.484800,0.3589,0.6240,-0.1281,0.731
0.490372,0.5114,0.5869,-0.3075,0.837
0.502986,0.2899,0.4264,-0.4561,0.688
0.511106,0.2516,0.3434,-0.4332,0.607
0.522966,0.2787,0.1191,-0.3392,0.455
0.530713,0.3846,0.0234,-0.2624,0.466
0.542613,-0.0535,-0.0603,-0.3512,0.360
0.552394,-0.4169,-0.0284,-0.6510,0.774
0.562512,-0.1446,0.2008,-0.9874,1.018
0.570044,0.1202,0.2348,-0.7058,0.754
0.583863,0.3586,-0.0918,-0.0863,0.380
0.589908,0.5011,-0.3668,0.1153,0.632
0.602868,0.8043,-0.4135,0.3009,0.953
0.610031,0.8226,-0.3435,0.3531,0.959
0.623046,0.6981,-0.1146,0.1109,0.716
0.630154,0.5550,-0.0296,0.0473,0.558
0.642600,0.1984,-0.0531,-0.1694,0.266
0.652194,0.0260,-0.0907,-0.4162,0.427
0.663017,0.0571,-0.1214,-0.5558,0.572
0.670785,0.2747,-0.2396,-0.4314,0.565
0.684577,0.2678,-0.5981,-0.1959,0.684
0.689910,0.1572,-0.7735,0.0556,0.791
0.703657,0.0056,-0.6199,0.1850,0.647
0.711478,-0.2217,-0.4148,0.1853,0.505
0.722792,-0.0936,0.0145,0.1422,0.171
0.729872,-0.0651,0.0460,0.2275,0.241
0.743654,-0.1007,-0.1565,-0.1197,0.221
0.753695,-0.2313,-0.3289,-0.3942,0.563
0.763096,0.1256,-0.2113,-0.4048,0.474
0.769868,0.5782,-0.0833,-0.3367,0.674
0.784189,0.9122,-0.0787,0.1416,0.926
0.790316,0.8365,-0.0900,0.4477,0.953
