time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002037,0.1967,0.1893,0.5559,0.619
0.009477,-0.0027,0.1655,0.4000,0.433
0.021738,-0.2379,0.1663,0.2776,0.402
0.029863,-0.3073,0.2576,0.2974,0.499
0.041942,-0.4114,0.3842,0.2852,0.631
0.049144,-0.1922,0.2884,-0.0164,0.347
0.062062,-0.0204,0.1728,0.0182,0.175
0.069064,0.2290,0.0233,0.3034,0.381
0.081587,-0.0628,0.0732,0.1263,0.159
0.089286,0.0964,0.2010,-0.1271,0.257
0.101882,0.3533,0.2447,-0.1106,0.444
0.109037,0.2149,0.1629,-0.1880,0.329
0.121617,-0.1753,0.0036,-0.3177,0.363
0.129249,-0.2566,-0.0869,-0.3260,0.424
0.142103,-0.2916,-0.2306,-0.2588,0.453
0.149876,-0.1651,-0.2599,-0.2379,0.389
0.161484,-0.0633,-0.2836,-0.0259,0.292
0.169595,-0.0302,-0.2350,-0.0100,0.237
0.182844,0.0702,-0.1300,0.0321,0.151
0.188952,0.0969,-0.0578,0.1009,0.151
0.201786,0.0789,-0.0166,0.0457,0.093
0.209633,-0.0925,-0.0111,0.0882,0.128
0.221763,-0.2240,0.0953,-0.0523,0.249
0.228956,-0.1390,0.0633,-0.0911,0.178
0.242896,-0.0443,-0.0781,0.1867,0.207
0.249353,0.0070,-0.1557,0.1390,0.209
0.261800,-0.2656,-0.1119,0.2534,0.384
0.269384,-0.1815,-0.0756,0.1501,0.247
0.282095,-0.0090,-0.0659,0.1262,0.143
0.288998,-0.0143,-0.1240,0.0804,0.148
0.301629,0.1001,-0.1786,0.1637,0.262
0.309197,0.1548,-0.1343,0.3046,0.367
0.322342,0.0522,-0.0801,0.2141,0.234
0.330370,-0.1237,-0.0001,0.0956,0.156
0.341878,-0.0225,0.1106,-0.0192,0.114
0.350859,-0.0217,0.0652,-0.0068,0.069
0.361996,-0.1256,-0.0681,0.0397,0.148
0.369722,-0.1938,-0.0996,0.0474,0.223
0.381822,-0.0884,-0.0338,0.0400,0.103
0.388970,0.0203,-0.0502,0.0172,0.057
0.402481,0.0862,-0.0447,0.0546,0.111
0.409642,0.1991,-0.0766,0.0743,0.226
0.421927,0.0926,-0.1511,0.1281,0.219
0.429279,0.0667,-0.1375,0.0743,0.170
0.441807,0.1785,-0.1264,0.0168,0.219
0.449390,0.2186,-0.1125,-0.0707,0.256
0.462184,0.0154,0.0576,-0.2489,0.256
0.469079,-0.0014,0.1471,-0.2647,0.303
0.484073,0.1557,0.1224,-0.2405,0.312
0.488948,0.0686,0.0579,-0.1012,0.135
0.502034,-0.0783,0.0555,-0.0558,0.111
0.508974,0.0109,0.0893,-0.1145,0.146
