time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.256735,-0.0708,1.4255,0.7094,1.594
1.267832,-0.5114,1.1947,1.6663,2.113
1.277614,-0.6017,1.0335,1.5683,1.972
1.288655,-0.4837,0.7994,0.5817,1.101
1.297512,-0.8141,0.7984,-0.1333,1.148
1.308606,-0.9890,0.7389,-0.6552,1.398
1.316635,-1.3871,0.5912,-0.9792,1.798
1.328092,-2.3474,0.4495,-1.3124,2.727
1.338136,-2.4132,0.6844,-1.2340,2.795
1.349291,-1.5113,0.9051,-1.2161,2.141
1.357482,-1.2147,0.6745,-1.5013,2.046
1.370173,-1.9528,0.9232,-1.6472,2.716
1.377505,-1.7058,1.2820,-1.2070,2.452
1.389252,-0.8114,1.0389,-0.3486,1.364
1.398090,-0.8965,1.0250,-0.1754,1.373
1.408380,-1.5648,1.0786,-0.8205,2.070
1.420566,-1.3779,1.2115,-0.9012,2.044
1.431439,-0.5015,0.8966,-0.8688,1.345
1.437007,-0.8757,1.0791,-0.8257,1.617
1.448897,-0.8647,0.8400,-1.3045,1.776
1.458177,-0.8736,0.8902,-1.7419,2.142
1.470729,-0.4127,1.5326,-1.4936,2.179
1.476386,0.0212,2.0349,-0.8193,2.194
1.488321,-0.3443,2.6164,0.4535,2.678
1.497035,-0.1686,2.0648,0.9709,2.288
1.509608,-0.9148,1.7596,1.9242,2.763
1.516856,-1.7255,1.5181,2.1819,3.169
1.527575,-2.1745,1.7078,2.0028,3.414
1.536342,-2.1018,1.9688,2.0790,3.552
1.549219,-1.5300,1.9936,2.1533,3.309
1.556354,-1.5909,1.4946,2.5186,3.333
1.569828,-1.8019,1.3368,2.9015,3.668
1.577659,-1.7766,1.4531,3.1969,3.935
1.587472,-1.5261,1.4593,3.3872,3.991
1.596092,-1.7811,1.2551,3.0741,3.768
1.607258,-1.7234,1.2094,2.1675,3.022
1.616172,-1.8087,0.9430,1.7486,2.687
1.627102,-1.7105,0.8249,1.4205,2.371
1.636431,-1.4175,1.0348,1.4491,2.276
1.647174,-1.0613,1.2070,1.7481,2.375
1.657388,-1.4985,1.6176,2.3683,3.236
1.668381,-1.5267,1.2087,2.4577,3.136
1.676160,-0.6995,0.0870,2.9454,3.029
1.689718,-0.7018,0.4079,1.1450,1.404
1.696088,-0.7469,0.4648,0.3543,0.948
1.707190,-1.8104,-0.0490,0.3739,1.849
1.716207,-2.9009,-0.8452,1.9844,3.615
1.728684,-1.9510,-1.5834,2.9959,3.910
1.738458,-1.0766,-1.5727,2.5872,3.213
1.747420,-0.5080,-1.6634,1.7306,2.454
1.759442,-0.7082,-2.2934,-0.0761,2.401
1.767661,-0.4005,-2.3989,-2.0121,3.157
1.775979,-0.3964,-2.3822,-2.8089,3.704
1.791952,-0.9177,-2.3903,-2.3583,3.481
1.796128,0.2856,-2.0010,-1.5820,2.567
1.807258,2.0284,-1.2583,-1.5966,2.872
1.816040,3.4496,-0.6415,-0.4136,3.533
1.827265,4.3418,-1.2393,-0.7661,4.580
1.836294,3.9605,-0.7339,-1.6677,4.360
1.847088,3.0672,-0.4418,-1.2938,3.358
1.857320,2.3782,-0.1769,-1.0615,2.610
1.870359,1.9195,0.0410,0.0820,1.922
1.876433,1.1596,0.3311,1.1231,1.648
1.887938,0.4270,0.2225,1.2944,1.381
1.896595,-0.2039,0.3173,1.3481,1.400
1.909872,-1.8845,0.0642,1.7586,2.578
1.917097,-3.0686,-0.3578,1.4084,3.395
1.927531,-4.2943,-0.5418,-0.0309,4.328
1.938501,-3.5127,-0.9053,-2.1390,4.211
1.947451,-2.1171,-0.0607,-3.8102,4.359
1.956830,-0.2295,-0.2442,-4.1934,4.207
1.968150,-0.4872,-0.4647,-3.5192,3.583
1.976457,-2.1572,-0.0531,-3.0450,3.732
1.997500,-4.1659,0.2963,-1.5998,4.472
1.999069,-5.3666,0.8863,0.2939,5.447
2.016654,-3.4410,0.6500,1.9967,4.031
2.018056,1.0592,1.5072,3.8858,4.300
2.027543,4.5960,2.7897,9.5555,10.964
2.038461,3.7259,1.6454,4.7449,6.253
2.047818,2.6592,2.0447,-1.6714,3.748
2.056372,4.0284,2.0567,0.7204,4.580
2.071046,6.0816,2.6943,1.4639,6.811
2.076941,6.2386,3.1466,-0.4750,7.003
2.089005,5.8827,3.4423,-2.0279,7.111
2.096494,3.6681,3.3608,-1.4540,5.183
2.110156,0.8235,3.3422,-0.9306,3.566
2.118921,0.2309,3.3246,0.2538,3.342
2.127858,2.3876,2.6748,0.6256,3.640
2.137633,3.2448,2.9936,-0.2723,4.423
2.147816,2.3517,3.4228,-0.2683,4.161
2.157112,1.4395,3.6135,1.2534,4.087
2.167878,0.8079,3.6571,1.2201,3.939
2.177739,1.2170,3.7722,1.3136,4.176
2.192741,1.4739,4.0225,1.6682,4.597
2.198092,1.2602,3.8812,0.9624,4.193
2.210323,-0.3644,2.9536,0.3523,2.997
2.216691,-0.7061,2.5031,-1.7839,3.154
2.227329,-0.1160,4.2978,-4.9006,6.519
2.238617,-2.0655,3.0171,0.2253,3.663
2.247940,-1.3323,4.8484,2.5954,5.658
2.257046,-5.4924,1.9111,-5.7734,8.195
2.267674,-5.9823,1.3595,0.6529,6.170
2.276633,-5.5996,3.3953,2.5643,7.033
2.289319,-4.0191,4.5168,1.9867,6.364
2.296268,-2.2696,4.4670,-0.3372,5.022
2.312735,-1.4369,2.6999,-0.3362,3.077
2.316802,-0.8614,0.7738,-0.8405,1.431
2.327653,-3.5470,-1.9655,0.1765,4.059
2.339224,-2.6492,-2.4415,0.3262,3.617
2.347321,-2.3758,-0.3409,1.0357,2.614
2.357161,-3.3535,-0.9935,1.9058,3.983
2.368066,-3.7822,-0.1867,2.2805,4.421
2.377036,-4.1934,-2.5018,2.4589,5.467
2.393718,-4.1630,-3.8483,1.9013,5.980
2.396305,-4.2598,-4.4094,1.3613,6.280
2.410779,-2.9884,-5.0148,0.6020,5.869
2.417046,-2.2248,-5.4706,-0.7013,5.947
2.427532,-1.9313,-6.8003,-1.9326,7.329
2.436472,-1.8534,-8.3540,-2.3339,8.870
2.447466,-1.6020,-9.5292,-1.3303,9.754
2.456454,-0.9211,-7.0048,-0.2800,7.071
2.467529,-1.8194,-8.3784,1.4587,8.697
2.476285,0.0893,-7.7594,1.0428,7.830
2.495513,2.0915,-3.4877,-0.2549,4.075
2.497373,2.3873,-0.3589,-1.2379,2.713
2.513934,2.3297,0.0540,-0.3051,2.350
2.517363,2.4468,0.3993,0.9498,2.655
2.527217,2.6688,1.4667,2.5822,3.993
2.539209,2.5897,2.0664,2.8428,4.366
2.547673,2.1251,2.7120,2.8656,4.481
2.558130,1.5752,3.0753,1.3760,3.719
2.567221,1.3833,2.7301,-1.8647,3.584
2.576172,0.8395,1.3878,-4.3470,4.640
2.587843,0.5949,-0.1454,-7.6415,7.666
2.597702,0.2862,-0.7202,-8.0996,8.137
2.615876,0.6070,1.5614,-2.5986,3.092
2.617287,0.5264,1.5625,-2.6937,3.158
2.627385,0.1007,2.1625,-0.3380,2.191
2.636181,1.4342,2.8662,-1.3988,3.497
2.647392,2.5007,3.1906,-2.4397,4.731
2.658338,3.0032,3.2026,-2.9630,5.297
2.667676,3.0399,2.4516,-2.3329,4.549
2.677520,2.9190,2.0680,-1.2896,3.803
2.687357,2.1296,2.1043,-1.5490,3.371
2.696653,2.0093,2.4599,-1.1745,3.386
2.717655,1.7500,2.5877,-0.4170,3.152
2.719533,1.3537,2.2360,0.0593,2.614
2.727557,0.9621,2.7685,0.9441,3.079
2.736624,0.4621,6.8453,2.2793,7.230
2.748299,-0.2781,0.6906,3.5213,3.599
2.758891,0.2328,5.2214,4.2735,6.751
2.767319,-1.2021,-0.5998,3.5147,3.763
2.776309,-1.4853,-0.6157,4.0933,4.398
2.787598,-2.3784,-1.2561,4.3099,5.080
2.796605,-2.2795,-2.1159,4.0193,5.082
2.814823,-2.0762,-2.1262,3.2513,4.405
2.816705,-2.2418,-2.3612,2.5727,4.150
