@RELATION movement

@ATTRIBUTE mean_x NUMERIC
@ATTRIBUTE mean_y NUMERIC
@ATTRIBUTE mean_z NUMERIC
@ATTRIBUTE mean_mag NUMERIC
@ATTRIBUTE var_x NUMERIC
@ATTRIBUTE var_y NUMERIC
@ATTRIBUTE var_z NUMERIC
@ATTRIBUTE var_mag NUMERIC
@ATTRIBUTE max_x NUMERIC
@ATTRIBUTE max_y NUMERIC
@ATTRIBUTE max_z NUMERIC
@ATTRIBUTE max_mag NUMERIC
@ATTRIBUTE max_x_en NUMERIC
@ATTRIBUTE max_y_en NUMERIC
@ATTRIBUTE max_z_en NUMERIC
@ATTRIBUTE max_mag_en NUMERIC
@ATTRIBUTE x_en NUMERIC
@ATTRIBUTE y_en NUMERIC
@ATTRIBUTE z_en NUMERIC
@ATTRIBUTE mag_en NUMERIC
@ATTRIBUTE operation {screw,unscrew}
@ATTRIBUTE grip {grip1,grip2}

@DATA
0.1697774,0.10714879999999999,0.024974800000000002,0.8068540000000001,0.39701213378924,0.16026265537856,0.26398676536495996,0.21121534068400002,2.1922,1.5044,1.5491,2.393,71.82960938241858,61.44429418772274,43.456859192641616,56.45465815551051,4933.549939226337,2897.6040834772784,3973.0401354946302,3808.683083675397,screw,grip2
0.1368074,0.0364234,0.004873,1.0466900000000001,0.76758283336524,0.22213834687244,0.359813203011,0.2740583259,2.7425,1.4546,1.995,3.004,131.90667032641784,95.31265650425517,61.219516459805526,46.93073989082695,5964.952992343385,2978.5770639706993,4441.677271486378,4335.092938457741,screw,grip2
0.07190300000000001,-0.005263200000000004,0.014819200000000003,1.11905,0.9677213118510001,0.23173435884576,0.34938591431136,0.3019549675,2.8181,1.4382,2.1326,3.417,157.91891302009947,70.63871693348176,53.49308246044674,66.1757806759439,6779.6672917060805,3238.4583239342865,4472.766903910131,4471.48632760844,screw,grip2
0.0744154,-0.0272744,0.0361944,0.852832,0.48333937654284,0.22133120378464,0.30393264552863997,0.288893459776,2.4513,2.1792,2.4596,2.9,52.326543266485025,59.393403089641104,46.54644618674863,105.07615822021313,5551.928825143347,3418.1517011993164,4555.430799378546,4026.8133543870913,screw,grip2
0.0905822,-0.081245,0.062853,1.22589,0.87524624082316,0.272183113315,0.8388757012910001,0.5022867179,3.6238,1.5646,3.6444,5.211,96.55011615164054,79.63913069852211,102.22300645293622,65.44375195367076,6808.510535855875,3634.4704602654406,6226.065737531138,5613.838801450189,screw,grip2
0.0228048,-0.0432326,0.022974399999999992,1.2052640000000001,1.0425364282969598,0.24057207803724,0.83842499138464,0.671777726304,4.0358,1.8307,3.2785,4.919,93.42178514233014,39.423427036117566,101.00841136464416,85.83745991630522,7406.507350289727,3663.3803128634063,6121.146682207462,6113.492368908013,screw,grip2
0.004578800000000001,-0.055810000000000005,0.0713068,1.151286,0.6885138131905599,0.30804596953999996,0.5471791822737601,0.226525216204,2.4046,1.6732,2.3376,2.698,105.55748294348085,89.0437503375261,105.47374019925567,36.64457534090834,6079.725362207209,3779.9581455655944,5128.194883575073,4182.746609408755,screw,grip2
0.0645364,-0.024604400000000005,0.11818100000000001,1.0472080000000001,0.71235718611504,0.20020441014064,0.584075961819,0.418695656736,3.2196,1.4571,2.671,4.038,99.28721001052294,63.86911701643853,78.34246888440804,78.99367981614715,6042.111360429994,3137.390210262997,5402.62812341251,4874.817158059928,screw,grip2
0.042531400000000004,-0.004275400000000003,0.1104766,0.895906,0.46797750163404,0.16178193693484003,0.35950012939243997,0.200604389164,2.8728,1.6892,2.0177,3.083,66.79294543177912,49.49628584419507,60.71287297209428,44.305543863669506,5399.671036360929,3021.659653236736,4518.753275817904,3818.887101446433,screw,grip2
0.0008689999999999958,-0.007373200000000002,0.0725986,1.176934,0.8462284189789999,0.21465956832176,0.67295873413804,0.354071769644,3.2649,1.6952,2.1147,3.748,108.60222716121744,61.211185921046706,93.91016756289889,52.701330923402736,6637.638354744555,3335.2257874522784,5876.142478564202,4895.351538391442,screw,grip2
