@RELATION movement

@ATTRIBUTE mean_x NUMERIC
@ATTRIBUTE mean_y NUMERIC
@ATTRIBUTE mean_z NUMERIC
@ATTRIBUTE mean_mag NUMERIC
@ATTRIBUTE var_x NUMERIC
@ATTRIBUTE var_y NUMERIC
@ATTRIBUTE var_z NUMERIC
@ATTRIBUTE var_mag NUMERIC
@ATTRIBUTE max_x NUMERIC
@ATTRIBUTE max_y NUMERIC
@ATTRIBUTE max_z NUMERIC
@ATTRIBUTE max_mag NUMERIC
@ATTRIBUTE max_x_freq NUMERIC
@ATTRIBUTE max_y_freq NUMERIC
@ATTRIBUTE max_z_freq NUMERIC
@ATTRIBUTE max_mag_freq NUMERIC
@ATTRIBUTE max_x_en NUMERIC
@ATTRIBUTE max_y_en NUMERIC
@ATTRIBUTE max_z_en NUMERIC
@ATTRIBUTE max_mag_en NUMERIC
@ATTRIBUTE x_en NUMERIC
@ATTRIBUTE y_en NUMERIC
@ATTRIBUTE z_en NUMERIC
@ATTRIBUTE mag_en NUMERIC
@ATTRIBUTE q1_freq NUMERIC
@ATTRIBUTE q3_freq NUMERIC
@ATTRIBUTE measure_positions {left_hand,right_hand,left_pocket,right_pocket}

@DATA
2.6217612,2.9426659999999996,1.5666832,4.798024000000001,8.921940329491841,11.90649102692,3.58651659074704,3.974320403424,8.0344,7.4326,4.7552,9.168,0.8,0.8,0.8,0.4,618.354576294579,770.6640746953675,387.1649932898701,299.1804174264218,11427.507597786705,10386.883344379745,9099.57646510573,9677.437350130913,3.1690496648222446,16.548097673294894,right_hand
2.7160900000000003,2.8852287999999997,1.2028299999999998,4.636622,10.956866064943998,11.776772775720001,2.344265306156,4.308326683116,7.9955,7.0925,4.877,8.826,1.0,1.0,1.0,2.0,889.8576805752183,1033.6477276514222,290.85818396090696,403.97818050566997,9839.15930305023,8836.107221929107,6334.757199589023,8092.15768359313,1.3389776152420798,8.231804310002524,right_hand
3.3204634,3.0764356,1.1863112,5.119307999999999,15.667913821736763,12.76377917496816,1.90722500926864,6.013443777136,11.0832,8.2253,5.2529,12.754,1.0,1.0,1.0,2.0,1208.6728920185806,1104.5180305697252,326.43190340775044,569.2633222973745,10881.118180821122,8937.353589824617,5730.302072009408,9460.446420473585,3.558595860923898,12.053435972282685,right_hand
3.5024978,2.9957249999999997,1.1959892,5.251708000000001,16.866089867878838,12.426951660778998,1.9716374208017597,5.868530638736001,10.0113,7.5041,4.3034,11.005,1.0,1.0,1.0,2.0,1283.461362230772,1066.0746072362683,275.09214302239405,568.8672836658079,9910.99304430818,9452.334666494902,5914.342176937352,8592.654479779008,1.828397454048576,8.837629923942151,right_hand
3.0448148,2.585026,1.2095598,4.64693,13.13924312875504,9.097080657171361,2.04030712732236,4.3079309731,9.3339,7.2527,4.8506,10.004,1.0,1.0,1.0,2.0,1078.8031326004823,826.2644694694924,249.1762029278996,378.8860296060909,10050.540112605551,8948.75594185061,6605.274373478386,8203.194745664608,1.0206217719426016,8.515586469793154,right_hand
2.7351140000000003,2.4850334000000003,1.0702766,4.3092,10.185832360778239,8.87621401763116,1.787989934371,3.1241318959999997,7.7916,6.92,4.2151,8.359,1.0,1.0,2.0,2.0,938.5244625368587,814.8645027026201,232.356837428408,345.1844797282178,9211.300667169482,9459.872959558441,5862.585381343641,6955.84972397829,1.948134761117927,10.548230761141946,right_hand
2.5109781999999994,2.1809822,0.9330345999999999,3.9544300000000003,9.083731302779,7.315467056899,1.32003241548076,2.3890745330999996,7.1959,6.832,3.3621,7.768,1.0,1.0,1.0,2.0,862.6615269008527,727.7593115047799,185.35994584594553,335.04010147161546,8867.839426083023,8193.69332664008,5350.748419418707,6643.353601387641,1.5845728108405703,8.355185451782628,right_hand
2.4840592,2.2825314,1.013989,3.9921219999999997,8.774204613477758,8.06621223948716,1.52795458522476,2.7665334911159998,6.8001,7.8596,3.94,7.942,1.0,1.0,2.0,2.0,814.9556702674835,765.888985858761,211.73232167418757,341.1138919345211,8917.295653517636,8734.820972718946,5700.385722599511,6797.273107888741,1.3363802394983257,6.8592141427102895,right_hand
3.4026148000000003,2.9342448000000005,1.1999950000000001,5.151248,15.80129948773056,12.66575937829824,1.642386553211,5.280727430496001,8.8776,8.2602,4.9809,9.668,1.0,1.0,1.0,2.0,1266.9443442389254,1071.150396036956,190.66903939882877,599.531975174855,9819.119463614248,9057.08469522544,6226.71684673438,7977.751147210816,2.2295856646781993,9.609963110399187,right_hand
3.1884568,2.8645086,1.2644398000000001,4.953944,14.336493435259039,11.578076565699,2.02655547472396,5.0116124688640005,11.1172,7.608,5.7536,12.379,1.0,1.0,1.0,2.0,1136.6687037955423,998.2704357809395,217.52620051514842,525.4916729519665,10622.678176067078,9287.29382240743,6715.922306506869,8666.484339643492,1.2147814520693605,8.71976661677895,right_hand
